NTACode,Borough,Growth Factor,NTA Name,Population - 2010,Population - 2011,Population - 2012,Population - 2013,Population - 2014,Population - 2015,Population - 2016,Population - 2017,Population - 2018,Population - 2019,Population - 2020
QN76,Queens,0.036,Baisley Park,34603,35849.0,37139.0,38476.0,39861.0,41296.0,42783.0,44323.0,45919.0,47572.0,49285.0
QN98,Queens,0.036,Airport,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN99,Queens,0.036,park-cemetery-etc-Queens,436,452.0,468.0,485.0,502.0,520.0,539.0,558.0,579.0,599.0,621.0
SI01,Staten Island,0.039,Annadale-Huguenot-Prince's Bay-Eltingville,27770,28853.0,29978.0,31147.0,32362.0,33624.0,34936.0,36298.0,37714.0,39185.0,40713.0
SI05,Staten Island,0.039,New Springville-Bloomfield-Travis,39597,41141.0,42746.0,44413.0,46145.0,47945.0,49814.0,51757.0,53776.0,55873.0,58052.0
SI07,Staten Island,0.039,Westerleigh,24102,25042.0,26019.0,27033.0,28088.0,29183.0,30321.0,31504.0,32732.0,34009.0,35335.0
SI08,Staten Island,0.039,Grymes Hill-Clifton-Fox Hills,22460,23336.0,24246.0,25192.0,26174.0,27195.0,28256.0,29357.0,30502.0,31692.0,32928.0
SI11,Staten Island,0.039,Charleston-Richmond Valley-Tottenville,23313,24222.0,25167.0,26148.0,27168.0,28228.0,29329.0,30472.0,31661.0,32896.0,34179.0
SI12,Staten Island,0.039,Mariner's Harbor-Arlington-Port Ivory-Graniteville,31474,32701.0,33977.0,35302.0,36679.0,38109.0,39595.0,41140.0,42744.0,44411.0,46143.0
SI14,Staten Island,0.039,Grasmere-Arrochar-Ft. Wadsworth,16079,16706.0,17358.0,18035.0,18738.0,19469.0,20228.0,21017.0,21837.0,22688.0,23573.0
SI22,Staten Island,0.039,West New Brighton-New Brighton-St. George,33551,34859.0,36219.0,37632.0,39099.0,40624.0,42208.0,43855.0,45565.0,47342.0,49188.0
SI24,Staten Island,0.039,Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill,30714,31912.0,33156.0,34450.0,35793.0,37189.0,38639.0,40146.0,41712.0,43339.0,45029.0
SI25,Staten Island,0.039,Oakwood-Oakwood Beach,22049,22909.0,23802.0,24731.0,25695.0,26697.0,27738.0,28820.0,29944.0,31112.0,32325.0
SI28,Staten Island,0.039,Port Richmond,20191,20978.0,21797.0,22647.0,23530.0,24448.0,25401.0,26392.0,27421.0,28490.0,29601.0
SI32,Staten Island,0.039,Rossville-Woodrow,20763,21573.0,22414.0,23288.0,24196.0,25140.0,26121.0,27139.0,28198.0,29297.0,30440.0
SI35,Staten Island,0.039,New Brighton-Silver Lake,17525,18208.0,18919.0,19656.0,20423.0,21220.0,22047.0,22907.0,23800.0,24729.0,25693.0
SI36,Staten Island,0.039,Old Town-Dongan Hills-South Beach,24835,25804.0,26810.0,27855.0,28942.0,30071.0,31243.0,32462.0,33728.0,35043.0,36410.0
SI37,Staten Island,0.039,Stapleton-Rosebank,26453,27485.0,28557.0,29670.0,30827.0,32030.0,33279.0,34577.0,35925.0,37326.0,38782.0
SI45,Staten Island,0.039,New Dorp-Midland Beach,21896,22750.0,23637.0,24559.0,25517.0,26512.0,27546.0,28620.0,29736.0,30896.0,32101.0
SI48,Staten Island,0.039,Arden Heights,25238,26222.0,27245.0,28308.0,29411.0,30559.0,31750.0,32989.0,34275.0,35612.0,37001.0
SI54,Staten Island,0.039,Great Kills,40720,42308.0,43958.0,45672.0,47454.0,49304.0,51227.0,53225.0,55301.0,57458.0,59698.0
SI99,Staten Island,0.039,park-cemetery-etc-Staten Island,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
